NewsHeadline	Phrase	SOHuman	Pattern	NewsCategory
Congresso aceita renúncia do presidente do Quirguistão	aceita renúncia	2	v-fin n	Política e conflitos
Ucrânia aceita reunião com países consumidores do gás russo, mas pede que não seja realizada na Rússia	aceita reunião	2	v-fin n	Economia e negócios
Governo e a guerrilha aceitam cessar-fogo na Somália	aceitam cessar-fogo	2	v-fin n	Política e conflitos
Presidente deposto de Honduras diz que não vai aceitar o exílio	aceitar o exílio	2	v-inf art n	Política e conflitos
Senado dos EUA acusa políticos do Reino Unido e da França de aceitar propinas de Saddam Hussein	aceitar propinas	-2	v-inf n	Política e conflitos
As FARC sinalizam que podem não aceitar proposta de intercâmbio humanitário	aceitar proposta	2	v-inf n	Política e conflitos
Comparecimento de eleitores na Guiné-Bissau é menor do que a primeira volta e dois maiores partidos se comprometem a aceitar resultados	aceitar resultados	2	v-inf n	Política e conflitos
Microsoft espera que Yahoo aceite proposta rapidamente	aceite proposta	2	v-fin n	Economia e negócios
Crise econômica acentua concentração da indústria do etanol, afirmam especialistas	acentua concentração	1	v-fin n	Economia e negócios
Moçambique regista redução acentuada de infecções de HIV em crianças	acentuada de infecções	-2	v-pcp prp n	Saúde
TeleSUR acerta acordo com Al Jazeera	acerta acordo	2	v-fin n	Economia e negócios
Mercosul acerta detalhes do acordo de livre comércio com o Egito	acerta detalhes	0	v-fin n	Economia e negócios
China e Tibete acertam a realização de nova rodada de diálogos	acertam a realização	1	v-fin art n	Política e conflitos
Petrobras e Galp acertam parceria para produzir óleo vegetal	acertam parceria	2	v-fin n	Economia e negócios
Hugo Chaves chega à Rússia para acertar compra de armas	acertar compra	2	v-inf n	Economia e negócios
OAB aciona Tarso Genro no Supremo para esclarecer acusação de vazamento	aciona tarso	0	v-fin n	Política e conflitos
Fórum realizado no Brasil sugere que países não acolham corruptos	acolham corruptos	-2	v-fin n	Política e conflitos
Partido de Lula acompanha eleição na Bolívia ao lado de Morales	acompanha eleição	1	v-fin n	Política e conflitos
Copom acompanha expectativa do mercado e mantém taxa básica de juros em 8,75%	acompanha expectativa	1	v-fin n	Economia e negócios
Eleições no Uruguai são acompanhadas por negociadores brasileiros	acompanhadas por negociadores	1	v-pcp prp n	Política e conflitos
Portal da Câmara permite a brasileiros acompanhar em detalhes a atividade parlamentar	acompanhar em detalhes	1	v-inf prp n	Política e conflitos
CNJ lança ?Processômetro? para divulgar e acompanhar trabalho dos tribunais	acompanhar trabalho	1	v-fin n	Política e conflitos
Sócrates disse que trabalha para que referendo sobre a Constituição Européia aconteça em Outubro, em Portugal	aconteça em outubro	0	v-fin prp n	Política e conflitos
Fiscalização de casos de gripe suína na fronteira com a Argentina só acontece em dias úteis	acontece em dias	0	v-fin prp n	Política e conflitos
Suplente de deputado brasileiro se acorrenta a cadeira na Câmara	acorrenta a cadeira	0	v-fin prp n	Política e conflitos
Al Gore acredita em acordo na reunião de Copenhague sobre o clima	acredita em acordo	2	v-fin prp n	Política e conflitos
Presidente da Câmara dos Deputados do Brasil diz que não acredita na existência do mensalão	acredita na existência	0	v-fin prp n	Política e conflitos
Presidente da Câmara dos Deputados do Brasil não acredita no mensalão e defende penas mais brandas	acredita no mensalão	0	v-fin prp n	Política e conflitos
Lula diz acreditar na possibilidade de "final feliz" para Rodada Doha	acreditar na possibilidade	1	v-inf prp n	Economia e negócios
Bovespa fecha em queda e acumula perda de 7,22% no ano	acumula perda	-2	v-fin n	Economia e negócios
Bovespa fecha em novo recorde e Dólar acumula queda de quase 3% na semana.	acumula queda	-2	v-fin n	Economia e negócios
Procurador do Ministério Público do Brasil disse que a Caixa Econômica Federal acumulou prejuízos de R$ 433 milhões com a multinacional Gtech	acumulou prejuízos	-2	v-fin n	Política e conflitos
Morales diz que não chamou Petrobrás de contrabandista e acusa a imprensa	acusa a imprensa	-2	v-fin art n	Economia e negócios
Chávez acusa colombianos de fabricar conspirações contra seu país	acusa colombianos	-2	v-fin n	Política e conflitos
No Brasil, senador Demostenes acusa deputado Severino de liderar acordão	acusa deputado	-2	v-fin n	Política e conflitos
Opositor de Chavez acusa governo de tentar sabotar eleições	acusa governo	-2	v-fin n	Política e conflitos
Senadora do PT acusa imprensa brasileira de atitude escandalosa	acusa imprensa	-2	v-fin n	Política e conflitos
Vladimir Putin acusa o Ocidente de querer afogar a Rússia depois de uma nova Cortina de Ferro	acusa o ocidente	-2	v-fin art n	Economia e negócios
PT se mobiliza e acusa partidos de oposição do Brasil	acusa partidos	-2	v-fin n	Política e conflitos
Senado dos EUA acusa políticos do Reino Unido e da França de aceitar propinas de Saddam Hussein	acusa políticos	-2	v-fin n	Política e conflitos
Senado dos EUA acusa políticos russos de participação no escândalo ONU-Saddam	acusa políticos	-2	v-fin n	Política e conflitos
Supremo Tribunal Federal rejeita ação popular que acusa presidente brasileiro de omissão	acusa presidente	-2	v-fin n	Política e conflitos
Governo colombiano acusa sindicalistas de apoiar guerrilheiros e grupos armados subversivos	acusa sindicalistas	-2	v-fin n	Política e conflitos
China acusa tibetanos de planejarem ataques terroristas	acusa tibetanos	-2	v-fin n	Política e conflitos
Jornalista do Washington Post acusa weblogs de espalhar desinformação e criar teorias da conspiração	acusa weblogs	-2	v-fin n	Política e conflitos
Parlamentar equatoriana é acusada de envolvimento com as FARC	acusada de envolvimento	-2	v-pcp prp n	Política e conflitos
Polícia Federal faz operação e prende dez pessoas acusadas de pedofilia na internet	acusadas de pedofilia	-2	v-pcp prp n	Política e conflitos
Fundador da PIP acusado de “ofensas corporais involuntárias”	acusado de “ofensas	-2	v-pcp prp n	Saúde
Professor acusado de abuso sexual contra adolescentes volta dar aulas em Portugal	acusado de abuso	-2	v-pcp prp n	Saúde
Hugo Chávez é acusado de anti-semitismo	acusado de anti-semitismo	-2	v-pcp prp n	Política e conflitos
Lula manifesta apoio ao Presidente da Guatemala acusado de assassinato	acusado de assassinato	-2	v-pcp prp n	Política e conflitos
Ex-presidente de Taiwan é preso, acusado de corrupção	acusado de corrupção	-2	v-pcp prp n	Política e conflitos
Governador de Illinois é preso acusado de corrupção	acusado de corrupção	-2	v-pcp prp n	Política e conflitos
Premiê de Israel é acusado de corrupção	acusado de corrupção	-2	v-pcp prp n	Política e conflitos
Morales defende acusado de envolvimento com Túpac Amaru	acusado de envolvimento	-2	v-pcp prp n	Política e conflitos
Ex-soldado americano é acusado de estupro e assassinato	acusado de estupro	-2	v-pcp prp n	Política e conflitos
Brasileiro acusado de evasão de divisas é preso na República Checa	acusado de evasão	-2	v-pcp prp n	Política e conflitos
Radovan Karadzic é preso na Sérvia, acusado de genocídio na Bósnia	acusado de genocídio	-2	v-pcp prp n	Política e conflitos
Alto funcionário das Nações Unidas é preso acusado de lavagem de dinheiro	acusado de lavagem	-2	v-pcp prp n	Política e conflitos
Senador brasileiro acusado de mensalinho anuncia desfiliação de partido	acusado de mensalinho	-2	v-pcp prp n	Política e conflitos
Acusado de narcotráfico deve ter nome referendado como presidente da República do Suriname	acusado de narcotráfico	-2	v-pcp prp n	Política e conflitos
Primeiro-Ministro da Itália é acusado de relacionamento com menor	acusado de relacionamento	-2	v-pcp prp n	Política e conflitos
STF autoriza extradição de alemão acusado de tráfico internacional de drogas	acusado de tráfico	-2	v-pcp prp n	Política e conflitos
Médico é acusado do ataque em Glasgow	acusado do ataque	-2	v-pcp prp n	Política e conflitos
Reino Unido prende três homens acusados de envio ilegal de lixo para o Brasil	acusados de envio	-2	v-pcp prp n	Política e conflitos
Câmara contraria Conselho e absolve dois deputados brasileiros acusados de envolvimento com o mensalão	acusados de envolvimento	-2	v-pcp prp n	Política e conflitos
Para Jobim, punir militares acusados de tortura no Regime Militar é "revanchismo"; Declaração provoca polêmica aos integrantes do STJ e OAB	acusados de tortura	-2	v-pcp prp n	Política e conflitos
STF retira acusação de gestão fraudulenta do banco BMG, Delúbio Soares, José Genoíno e Marcos Valério, acusados no ?Escândalo do Mensalão?	acusados no ?escândalo	-2	v-pcp prp n	Política e conflitos
China e Índia aderem ao acordo de Copenhaga	aderem ao acordo	2	v-fin prp n	Política e conflitos
Agricultura deve aderir à proposta do Desenvolvimento Agrário no novo Código Florestal	aderir à proposta	2	v-inf prp n	Política e conflitos
Tribunal adia alegações finais do caso Cassule e Kamulingue	adia alegações	-1	v-fin n	Saúde
Pedido de vistas pelo Supremo Tribunal Federal, adia decisão sobre a Reserva Raposa-Serra do Sol, de Roraima, Brasil	adia decisão	-1	v-fin n	Política e conflitos
Supremo adia decisão sobre monopólio dos Correios nos serviços postais; Empresas privadas e manifestantes protestam contra monopólio dos Correios nos serviços de encomendas expressas	adia decisão	-1	v-fin n	Economia e negócios
TSE adia decisão sobre pedido de cassação do governador Jackson Lago para 2009	adia decisão	-1	v-fin n	Política e conflitos
Peru registra 11 mortes por gripe suína e governo adia desfiles militares em feriado nacional	adia desfiles	-1	v-fin n	Política e conflitos
AOL adia em um mês o fim do Netscape	adia em um	-1	v-fin prp num	Economia e negócios
Universidade de Juiz de Fora adia início das aulas por tempo indeterminado	adia início	-1	v-fin n	Saúde
Conselho de Ética adia para terça-feira depoimento do deputado Edmar Moreira	adia para terça-feira	-1	v-fin prp n	Política e conflitos
Presidente deposto adia plano de voltar à Honduras	adia plano	-1	v-fin n	Política e conflitos
Equador estuda sanções comerciais contra a Colômbia e adia reatamento de relações	adia reatamento	-1	v-fin n	Política e conflitos
Universidade Federal Rural do Rio de Janeiro adia volta às aulas por causa da gripe suína	adia volta	-1	v-fin n	Saúde
Mais dois colégios particulares no Rio adiam a volta às aulas por causa da gripe	adiam a volta	-1	v-fin art n	Saúde
Micheletti admite renúncia desde que Zelaya não retorne ao poder em Honduras	admite renúncia	-1	v-fin n	Política e conflitos
Em vídeo, tenente da Al Qaeda diz que Bush deve admitir sua derrota no Iraque	admitir sua derrota	-1	v-inf pron-det n	Política e conflitos
Base brasileira no Haiti adota medidas para evitar disseminação do cólera entre soldados	adota medidas	1	v-fin n	Política e conflitos
Conselho de Segurança adota resolução contra a Síria	adota resolução	1	v-fin n	Política e conflitos
Governos estaduais do Brasil adotam medidas para evitar disseminação da gripe A entre presos	adotam medidas	1	v-fin n	Saúde
Crise leva BC a adotar medida para ampliar recursos disponíveis no mercado	adotar medida	1	v-inf n	Economia e negócios
Leite adulterado em Minas Gerais é recolhido	adulterado em minas	-2	v-pcp prp n	Saúde
G20 não acabará com a crise em um dia, adverte ministro britânico	adverte ministro	-1	v-fin n	Economia e negócios
Pyongyang adverte Seul que comportamento arrogante pode comprometer diálogo	adverte seul	-1	v-fin n	Política e conflitos
Secretário-Geral das Nações Unidas adverte sobre mudança climática	adverte sobre mudança	-1	v-fin prp n	Política e conflitos
Lula afasta cúpula da Abin por causa de suspeita de grampo no STF	afasta cúpula	1	v-fin n	Política e conflitos
Paulinho da Força se afasta da diretoria do PDT	afasta da diretoria	-1	v-fin prp n	Política e conflitos
Deputado Roberto Jefferson se afasta da presidência do PTB	afasta da presidência	-1	v-fin prp n	Política e conflitos
Secretário do Partido dos Trabalhadores se afasta do cargo	afasta do cargo	-1	v-fin prp n	Política e conflitos
Justiça determina retorno de prefeito de Limeira afastado por suspeita de corrupção	afastado por suspeita	-2	v-pcp prp n	Economia e negócios
Micheletti estuda se afastar do governo para garantir eleições tranquilas e Zelaya ameaça impugnar as eleições hondurenhas do próximo dia 29	afastar do governo	-1	v-inf prp n	Política e conflitos
TRF suspende decisão de afastar governador de Rondônia do cargo	afastar governador	-2	v-inf n	Política e conflitos
Partido dos Trabalhadores pressionou TV Record para afastar jornalista brasileiro Boris Casoy	afastar jornalista	-2	v-inf n	Política e conflitos
Apagão afeta dez estados brasileiros	afeta dez estados	-1	v-fin num n	Economia e negócios
Gripe A afeta popularidade de Lula	afeta popularidade	-1	v-fin n	Política e conflitos
Vendas diretas não são afetadas pela crise, diz entidade	afetadas pela crise	-2	v-pcp prp n	Economia e negócios
Chuvas no Maranhão já mataram sete e afetaram 155 mil pessoas	afetaram 155 mil	-1	v-fin num n	Política e conflitos
Concordata da matriz não afetou GM no Brasil, afirma presidente; Sindicato quer garantia de que não haverá demissões na GM	afirma presidente	0	v-fin n	Economia e negócios
Reforma política e segurança pública são as prioridades para 2006 afirma Presidente da Câmara dos Deputados do Brasil	afirma presidente	0	v-fin n	Política e conflitos
Mídia disputa mercado pela espetacularização e não pela qualidade da informação, afirma Tarso	afirma tarso	0	v-fin n	Política e conflitos
Crise econômica acentua concentração da indústria do etanol, afirmam especialistas	afirmam especialistas	1	v-fin n	Economia e negócios
BC afrouxa a política monetária e Selic cai para 12,75% ao ano	afrouxa a política	-1	v-fin art n	Economia e negócios
Polícia cubana age com violência contra manifestantes da oposição	age com violência	-3	v-fin prp n	Política e conflitos
Jimmy Carter agenda encontro com líder do Hamas	agenda encontro	1	v-fin n	Política e conflitos
Irã e Rússia: discussões econômicas agendadas para 11 de Dezembro	agendadas para 11	1	v-pcp prp num	Economia e negócios
Polícia Federal do Brasil prende assessores e ex-parlamentares acusados de formar quadrilha que agia na Câmara dos Deputados	agia na câmara	0	v-fin prp n	Política e conflitos
BES vai "agir em conformidade" contra decisão dos accionistas do BESA	agir em conformidade	2	v-inf prp n	Economia e negócios
Senadora do PSOL disse que tesoureiro do PT agiu com autorização de Lula	agiu com autorização	2	v-fin prp n	Política e conflitos
Assentamento da Usina Santo Antônio agrada ribeirinhos, mas falta de título de posse preocupa	agrada ribeirinhos	2	v-pcp n	Política e conflitos
Uribe agradece ajuda do Brasil para liberação de reféns das Farc	agradece ajuda	2	v-fin n	Política e conflitos
Ramos-Horta agradece apoio, em sua primeira entrevista pós-atentado	agradece apoio	2	v-fin n	Política e conflitos
Zelaya agradece apoio brasileiro e pede mais firmeza da comunidade internacional	agradece apoio	2	v-fin n	Política e conflitos
Idoso agride deputado José Dirceu com bengala	agride deputado	2	v-fin n	Política e conflitos
Hospital aguarda consenso dos pais da menina grávida aos nove anos	aguarda consenso	1	v-fin n	Saúde
Estados Unidos ajudam Autoridade Palestina	ajudam autoridade	2	v-fin n	Economia e negócios
Estados Unidos ajudam vítimas das cheias em Moçambique	ajudam vítimas	2	v-fin n	Saúde
Arquivos da ditadura recolhidos pelo governo podem ajudar na busca de desaparecidos	ajudar na busca	2	v-inf prp n	Política e conflitos
Governo de São Paulo libera R$ 3 milhões para ajudar Santa Casa	ajudar santa	2	v-inf n	Saúde
Paralisação de professores alcança 22 estados brasileiros	alcança 22 estados	0	v-fin num n	Política e conflitos
Grécia alcança acordo sobre medidas de austeridade	alcança acordo	2	v-fin n	Economia e negócios
Cruz Vermelha alerta países pobres para uma possível segunda onda da doença	alerta países	-1	v-fin n	Saúde
ONU alerta para crise humanitária na Faixa de Gaza	alerta para crise	-2	v-fin prp n	Política e conflitos
Instituto de Traumatologia alerta para cuidados com esão por esforço repetitivo	alerta para cuidados	2	v-fin prp n	Saúde
Oftalmologista alerta para cuidados com os olhos durante o verão	alerta para cuidados	2	v-fin prp n	Saúde
ONU alerta para falta de contribuição dos países ricos para os objetivos do milênio	alerta para falta	-1	v-fin prp n	Política e conflitos
FDA alerta para perigos de pílula abortiva	alerta para perigos	-2	v-fin prp n	Saúde
Fidel Castro alerta sobre volta ao Capitalismo	alerta sobre volta	-2	v-fin prp n	Política e conflitos
Brasileiro consome 5,2 litros de agrotóxico por ano, alertam ambientalistas	alertam ambientalistas	-1	v-fin n	Saúde
Aliados de Chávez podem perder até dez governos regionais nas eleições deste ano	aliados de chávez	0	v-pcp prp n	Política e conflitos
Erro grosseiro do The New York Times alimenta polêmica sobre as fotos da guerra	alimenta polêmica	-2	v-fin n	Política e conflitos
400 funcionários da Câmara podem estar ligados ao esquema que alimentou o mensalão	alimentou o mensalão	-2	v-fin art n	Política e conflitos
Pesquisadores do Butantan desenvolvem anti-inflamatório capaz de aliviar dores crônicas	aliviar dores	2	v-inf n	Saúde
Lula almoça com presidente chinês e conversa sobre comércio exterior	almoça com presidente	1	v-fin prp n	Economia e negócios
Partido dos Trabalhadores recolhe assinaturas para alterar a Constituição do Brasil	alterar a constituição	0	v-inf art n	Política e conflitos
Acordão ameaça punição de culpados no escândalo do mensalão, no Brasil	ameaça punição	-2	v-fin n	Política e conflitos
Ex-esposa de Chávez diz que foi ameaçada de morte pelo ex-marido	ameaçada de morte	-2	v-pcp prp n	Política e conflitos
Angola: Activista “ameaçado de morte”	ameaçado de morte	-2	v-pcp prp n	Política e conflitos
Suspeito preso por ameaçar de morte os políticos na França é solto por falta de provas	ameaçar de morte	-3	v-inf prp n	Política e conflitos
Foxconn faz acordo com trabalhadores que ameaçavam suicídio coletivo	ameaçavam suicídio	-3	v-fin n	Economia e negócios
Governo amplia cadastro do Bolsa Família	amplia cadastro	2	v-fin n	Economia e negócios
Brasil amplia restrição à importação de calçados chineses	amplia restrição	-1	v-fin n	Economia e negócios
Brasil e Estados Unidos ampliam cooperação na área de ciência e tecnologia	ampliam cooperação	2	v-fin n	Economia e negócios
Crise leva BC a adotar medida para ampliar recursos disponíveis no mercado	ampliar recursos	2	v-inf n	Economia e negócios
Ministério libera R$ 213 milhões para estados ampliarem atendimento básico de saúde	ampliarem atendimento	1	v-inf n	Economia e negócios
China amplifica relações comerciais e políticas com países africanos	amplifica relações	2	v-fin n	Política e conflitos
Senador Pedro Simon analisa a crise política no Brasil	analisa a crise	1	v-fin art n	Política e conflitos
PSDB analisa terça-feira se encaminha representação contra Renan ao Conselho de Ética	analisa terça-feira	0	v-fin n	Política e conflitos
Comissão de Direitos Humanos do Senado analisará situação de presídios no país	analisará situação	1	v-fin n	Política e conflitos
Camundongos voltam a andar após lesão na medula	andar após lesão	2	v-inf prp n	Saúde
Colégio Militar de Porto Alegre antecipa férias por causa de suspeita de influenza	antecipa férias	0	v-fin n	Saúde
Sarney anula 663 atos secretos e determina devolução de dinheiro	anula 663 atos	-1	v-fin num n	Política e conflitos
STF anula dez depoimentos de 10 acusados no ?Escândalo do Mensalão?; Marcos Valério quer acordo com a Justiça, diz Procuradoria da República	anula dez depoimentos	-1	v-fin num n	Política e conflitos
Energias do Brasil anuncia acordo com Grupo Rede	anuncia acordo	2	v-fin n	Economia e negócios
Aécio Neves anuncia ampliação do Travessia a mais 70 cidades	anuncia ampliação	1	v-fin n	Economia e negócios
Ex-vice-presidente Al Gore anuncia apoio a Obama	anuncia apoio	2	v-fin n	Política e conflitos
John Kerry anuncia apoio a Obama	anuncia apoio	2	v-fin n	Política e conflitos
Perdigão anuncia aquisição da Eleva Alimentos	anuncia aquisição	2	v-fin n	Economia e negócios
Ministério da Defesa anuncia aumento médio de 47,19% para militares	anuncia aumento	0	v-fin n	Economia e negócios
Grupo separatista ETA anuncia cessar-fogo permanente	anuncia cessar-fogo	2	v-fin n	Política e conflitos
Grécia: líder dos Gregos Independentes anuncia coligação governamental	anuncia coligação	1	v-fin n	Economia e negócios
Fórum Econômico Mundial anuncia criação de Projeto de Cooperação Global	anuncia criação	1	v-fin n	Política e conflitos
Mantega anuncia criação de mais duas alíquotas do Imposto de Renda	anuncia criação	-1	v-fin n	Economia e negócios
Novartis anuncia criação de vacina contra o vírus H1N1	anuncia criação	2	v-fin n	Saúde
ANP anuncia descoberta de campo que pode ser o terceiro maior do mundo	anuncia descoberta	1	v-fin n	Economia e negócios
Petrobras anuncia descoberta de petróleo no litoral do Espírito Santo	anuncia descoberta	1	v-fin n	Economia e negócios
PMDB anuncia desfiliação de todos que fizerem parte do governo Lula	anuncia desfiliação	1	v-fin n	Política e conflitos
Senador brasileiro acusado de mensalinho anuncia desfiliação de partido	anuncia desfiliação	1	v-fin n	Política e conflitos
Petrobras anuncia em revista do MST	anuncia em revista	0	v-fin prp n	Economia e negócios
Barack Obama anuncia fim da missão no Iraque até 2010	anuncia fim	0	v-fin n	Política e conflitos
Governo do Sri Lanka anuncia fim da Guerra Civil de 25 anos	anuncia fim	0	v-fin n	Política e conflitos
Governo estadual paulista anuncia fim das rebeliões no Estado de São Paulo	anuncia fim	0	v-fin n	Política e conflitos
Banco do Brasil anuncia incorporação do Banco do Estado do Piauí	anuncia incorporação	1	v-fin n	Economia e negócios
ONU anuncia iniciativa para a protecção dos oceanos	anuncia iniciativa	1	v-fin n	Política e conflitos
Governo brasileiro anuncia liberação de 2 bilhões de reais para saúde	anuncia liberação	1	v-fin n	Saúde
Mantega anuncia liberação de R$ 15 bilhões para pequenas, médias e grandes empresas	anuncia liberação	1	v-fin n	Economia e negócios
Presidente anuncia libertação de fuzileiros britânicos	anuncia libertação	1	v-fin n	Política e conflitos
François Hollande anuncia medidas para conter crise econômica	anuncia medidas	1	v-fin n	Economia e negócios
Governo vai ampliar bolsas para pós-graduação, anuncia ministro	anuncia ministro	0	v-fin n	Política e conflitos
Agência das FARC anuncia morte de 11 deputados colombianos	anuncia morte	-3	v-fin n	Política e conflitos
Mantega anuncia no fim da tarde mais medidas para frear desvalorização do dólar	anuncia no fim	0	v-fin prp n	Economia e negócios
José Sarney anuncia o fechamento da Fundação José Sarney	anuncia o fechamento	-1	v-fin art n	Economia e negócios
Bush anuncia pacote de ajuda para criação de Estado Palestino	anuncia pacote	1	v-fin n	Política e conflitos
Lula anuncia pacote de ajuda às favelas	anuncia pacote	1	v-fin n	Política e conflitos
União Européia anuncia pacote econômico de 200 bilhões de euros	anuncia pacote	1	v-fin n	Economia e negócios
Reajuste de militares atrasa e Brigadeiro anuncia para breve "notícia boa" sobre salário dos militares	anuncia para breve	0	v-fin prp n	Política e conflitos
Petrobras anuncia programa de apoio à indústria naval brasileira	anuncia programa	0	v-fin n	Economia e negócios
Ortega anuncia proteção a outra suposta integrante das FARC	anuncia proteção	2	v-fin n	Política e conflitos
Governo colombiano anuncia resgate de Ingrid Betancourt	anuncia resgate	2	v-fin n	Política e conflitos
França anuncia retirada de missão humanitária	anuncia retirada	-1	v-fin n	Política e conflitos
Japão anuncia retirada de suas tropas do Iraque	anuncia retirada	2	v-fin n	Política e conflitos
Gilberto Gil anuncia saída do Ministério da Cultura	anuncia saída	0	v-fin n	Política e conflitos
Senadora Marina Silva anuncia saída do PT e vai ao PV	anuncia saída	0	v-fin n	Política e conflitos
Brasil anuncia suspensão de acordos de isenção de vistos com Honduras	anuncia suspensão	-1	v-fin n	Política e conflitos
Chávez anuncia volta à Venezuela	anuncia volta	1	v-fin n	Saúde
Terras griladas na Amazônia são anunciadas para venda na internet; Incra recorre à Justiça Federal contra site	anunciadas para venda	0	v-pcp prp n	Política e conflitos
Grupo Pão de Açúcar e Casas Bahia anunciam fusão	anunciam fusão	1	v-fin n	Economia e negócios
Itaú e Unibanco anunciam fusão	anunciam fusão	1	v-fin n	Economia e negócios
Perdigão e Sadia anunciam fusão	anunciam fusão	1	v-fin n	Economia e negócios
Vale e Petrobras anunciam parceria	anunciam parceria	1	v-fin n	Economia e negócios
AMD e ATI anunciam planos de fusão	anunciam planos	1	v-fin n	Economia e negócios
Bancos Centrais anunciam uma junta de esforços para liquidar dívidas	anunciam uma junta	1	v-fin art n	Economia e negócios
Chávez e Morales anunciam união "anti-neoliberal e anti-imperialista"	anunciam união	2	v-fin n	Política e conflitos
Presidente da Venezuela volta anunciar a onda de nacionalização	anunciar a onda	0	v-inf art n	Economia e negócios
Ex-esposa de Costa Neto aparece de surpresa e entrega convite que alega contradizer ex-marido	aparece de surpresa	0	v-fin prp n	Política e conflitos
