news source	News Category	News Healine
pt.wikinews.org	Economia e negócios	Câmara dos Deputados da Argentina se prepara para votar hoje expropriação de petrolífera YPF
pt.wikinews.org	Economia e negócios	Camelôs entram em confronto com Policiais na 25 de março
pt.wikinews.org	Economia e negócios	Campo Grande é o primeiro município brasileiro a receber financiamento do BID para o Procidades
pt.wikinews.org	Economia e negócios	Carlos Minc comenta dados sobre desmatamento na Amazônia
pt.wikinews.org	Economia e negócios	Casa-CE planeia protesto no Uíge contra aumentos nos combustíveis
pt.wikinews.org	Economia e negócios	Caso BPN: Dias Loureiro não tem nada em seu nome, diz jornal
pt.wikinews.org	Economia e negócios	Caso dos aeroportos em Moçambique: sentença este sábado
pt.wikinews.org	Economia e negócios	Chanceler brasileiro defende acordos com a Venezuela
pt.wikinews.org	Economia e negócios	Chávez ameaça com barril de petróleo a 200 dólares caso EUA invadam o Irã
pt.wikinews.org	Economia e negócios	Chávez ameaça expropriar Ternium Sidor
pt.wikinews.org	Economia e negócios	Chávez diz na televisão que Israel usa métodos de Hitler e os EUA do Drácula
pt.wikinews.org	Economia e negócios	Chávez reúne-se com Cristina e Lula em Buenos Aires
pt.wikinews.org	Economia e negócios	Chefes de governo de Índia, Brasil e África do Sul pensam em medidas para se defender da crise
pt.wikinews.org	Economia e negócios	Chevron diz que ainda não recebeu oficialmente notificação judicial que impede seus executivos de saírem do país
pt.wikinews.org	Economia e negócios	Chevron informa que há mais um vazamento de petróleo na Bacia de Campos
pt.wikinews.org	Economia e negócios	Cheyne Capital e Toscafund presentes no lançamento de cinco Newcits
pt.wikinews.org	Economia e negócios	Chile pode adotar sistema de televisão digital igual ao do Brasil
pt.wikinews.org	Economia e negócios	China e CPLP procuram novas formas de comércio em Moçambique
pt.wikinews.org	Economia e negócios	China e Emirados Árabes oferecem empréstimo para exploração do petróleo na camada pré-sal
pt.wikinews.org	Economia e negócios	China e Japão deixarão de usar dólar dos EUA
pt.wikinews.org	Economia e negócios	China supera Estados Unidos e torna-se maior parceiro comercial do Brasil
pt.wikinews.org	Economia e negócios	China toma medidas para conter a inflação
pt.wikinews.org	Economia e negócios	China valoriza sua moeda pela primeira vez em 10 anos
pt.wikinews.org	Economia e negócios	Chissano: Conversações sobre Madagascar
pt.wikinews.org	Economia e negócios	Chuvas no Nordeste do Brasil deixam várias vítimas e muitos prejuízos
pt.wikinews.org	Economia e negócios	Cimeira da SADC reunida em Kinshasa
pt.wikinews.org	Economia e negócios	Cimeira do gás reúne 500 delegados em Moçambique
pt.wikinews.org	Economia e negócios	Citigroup apresenta prejuízo de US$ 2,5 bi no 2º trimestre
pt.wikinews.org	Economia e negócios	Citigroup tem prejuízo de US$ 8,29 bilhões em 2008 e se divide
pt.wikinews.org	Economia e negócios	CNT/Sensus revela queda de dez por cento na avaliação do presidente Lula
pt.wikinews.org	Economia e negócios	Cobertura básica dos planos de saúde terá novos itens obrigatórios
pt.wikinews.org	Economia e negócios	Colheita de trigo argentino deve ficar 400 mil toneladas abaixo do previsto
pt.wikinews.org	Economia e negócios	Colômbia define salário mínimo de 2012 por consenso de empresários e sindicatos
pt.wikinews.org	Economia e negócios	Colômbia e Venezuela assinam acordo para a construção de gasoduto
pt.wikinews.org	Economia e negócios	Colômbia ratifica acordo de livre comércio com o Mercosul
pt.wikinews.org	Economia e negócios	Com excesso de chuvas, MS já perdeu cerca de 30% da safra de soja
pt.wikinews.org	Economia e negócios	Comerciantes de São Paulo esperam alta de até 5% nas vendas do Dia das Mães
pt.wikinews.org	Economia e negócios	Comércio atrapalhou a Cúpula UE-África
pt.wikinews.org	Economia e negócios	Comércio Brasil-Argentina é tema de reunião em São Paulo
pt.wikinews.org	Economia e negócios	Comércio em moeda local entre Brasil e Argentina está crescendo, diz Meirelles
pt.wikinews.org	Economia e negócios	Comissão de Juristas aprova proposta para punir criminalmente empresas por corrupção contra a administração pública
pt.wikinews.org	Economia e negócios	Comissão do Senado aprova nome de Múcio para vaga de ministro do TCU
pt.wikinews.org	Economia e negócios	Comissão do Senado aprova o fim de fuso horário no Brasil
pt.wikinews.org	Economia e negócios	Comissão do Senado brasileiro aprova relatório de Mercadante sobre nova Lei Nacional de Adoção
pt.wikinews.org	Economia e negócios	Comissão especial de acompanhamento da crise econômica aprova relatório
pt.wikinews.org	Economia e negócios	Comissão mista discute acordos entre Venezuela e Irã
pt.wikinews.org	Economia e negócios	Companhia aérea japonesa entra com pedido de concordata e cancela voo no Brasil
pt.wikinews.org	Economia e negócios	Companhias petroleiras obtêm grandes lucros
pt.wikinews.org	Economia e negócios	Concordata da matriz não afetou GM no Brasil, afirma presidente; Sindicato quer garantia de que não haverá demissões na GM
pt.wikinews.org	Economia e negócios	Condição feminina no mercado de trabalho está longe da igualdade com homens, diz OIT
pt.wikinews.org	Economia e negócios	Congresso dos Estados Unidos rejeita pacote para conter crise financeira do país
pt.wikinews.org	Economia e negócios	Congresso dos EUA aprova a CAFTA
pt.wikinews.org	Economia e negócios	Conhecimento sobre produção de bomba atômica é essencial para o país, dizem especialistas
pt.wikinews.org	Economia e negócios	Consumo de álcool supera o de gasolina pela primeira vez em 20 anos
pt.wikinews.org	Economia e negócios	Copa do Mundo de 2014 e Olimpíadas de 2016 movimentam a economia brasileira
pt.wikinews.org	Economia e negócios	Copa, Olimpíadas e pré-sal podem gerar bons lucros para pequenas empresas, diz Sebrae
pt.wikinews.org	Economia e negócios	Copenhague: COP-15 termina com declaração política e sem acordo prático
pt.wikinews.org	Economia e negócios	Copenhague: Líderes mundiais discursam na COP-15
pt.wikinews.org	Economia e negócios	Copom acompanha expectativa do mercado e mantém taxa básica de juros em 8,75%
pt.wikinews.org	Economia e negócios	Copom eleva taxa básica de juros para 13% ao ano
pt.wikinews.org	Economia e negócios	Copom mantém taxa básica de juros em 13,75%
pt.wikinews.org	Economia e negócios	Copom mantém taxa básica de juros no Brasil
pt.wikinews.org	Economia e negócios	Copom sinaliza que pode reduzir juros
pt.wikinews.org	Economia e negócios	Corrupção em Angola: Rafael Marques põe o dedo na ferida
pt.wikinews.org	Economia e negócios	CPI da Petrobras será instalada terça-feira ainda sem definição de presidente e relator
pt.wikinews.org	Economia e negócios	CPI pode gerar consequências negativas para a Petrobras, diz Gabrielli
pt.wikinews.org	Economia e negócios	CPMF é derrubada no Senado
pt.wikinews.org	Economia e negócios	Criado o Banco do Sul
pt.wikinews.org	Economia e negócios	Crise deve derrubar 2,4 milhões de empregos na América Latina em 2009
pt.wikinews.org	Economia e negócios	Crise econômica acentua concentração da indústria do etanol, afirmam especialistas
pt.wikinews.org	Economia e negócios	Crise econômica precisa ser enfrentada com foco no meio ambiente, defende senadora
pt.wikinews.org	Economia e negócios	Crise leva BC a adotar medida para ampliar recursos disponíveis no mercado
pt.wikinews.org	Economia e negócios	Crise levará consumo de energia no Brasil a fechar negativo em 2009
pt.wikinews.org	Economia e negócios	Crise pode gerar 50 milhões de desempregados no mundo, indica OIT
pt.wikinews.org	Economia e negócios	Cristina Kirchner faz apelo a produtores rurais para que liberem estradas
pt.wikinews.org	Economia e negócios	Cristina Kirchner reaparece em público um mês após problemas de saúde
pt.wikinews.org	Economia e negócios	Cristina Kirchner toma posse como presidenta da Argentina para mais quatro anos de mandato
pt.wikinews.org	Economia e negócios	Cristina Kirchner vai enviar ao Congresso projeto de lei sobre restrições a exportações
pt.wikinews.org	Economia e negócios	Críticas a escolas unem blogueiras mirins do Brasil e da Escócia
pt.wikinews.org	Economia e negócios	Cuba destaca ano de "vitórias relevantes"
pt.wikinews.org	Economia e negócios	Cubanos voltam a comer carne depois de mais de 10 anos
pt.wikinews.org	Economia e negócios	Cúpula da América Latina e do Caribe mostra que EUA não mandam na região, diz Chávez
pt.wikinews.org	Economia e negócios	Daimler Chrysler pode fechar fábrica no Brasil
pt.wikinews.org	Economia e negócios	Daniel Dantas tentou corromper delegado federal para ficar fora da investigação
pt.wikinews.org	Economia e negócios	Datena deixa a TV Record menos de dois meses na emissora e volta à TV Bandeirantes
pt.wikinews.org	Economia e negócios	David Murcia quer ser senador
pt.wikinews.org	Economia e negócios	Debate sobre financiamento do teatro opõe fomento e isenção tributária
pt.wikinews.org	Economia e negócios	Decisão da OMC sobre subsídio ao algodão deve sair em agosto
pt.wikinews.org	Economia e negócios	Declaratório da Receita sobre mudança contábil da Petrobras deve ficar pronto em dez dias
