NewsHeadline	Phrase	SOHuman	Pattern	NewsCategory
Copa, Olimpíadas e pré-sal podem gerar bons lucros para pequenas empresas, diz Sebrae	bons lucros	2	adj n	Economia e negócios
No Senado brasileiro senadores do governo voltam atrás e dizem ser a favor da CPI	brasileiro senadores	0	adj n	Política e conflitos
Segundo Presidente de CPI número de deputados brasileiros suspeitos de envolvimento com máfia das ambulâncias pode chegar a 45	brasileiros suspeitos	0	adj n	Política e conflitos
Vence ultimato de palestinos que mantêm cativo soldado israelense	cativo soldado	-2	adj n	Política e conflitos
PCC ordena o cessar fogo em São Paulo	cessar fogo	2	adj n	Política e conflitos
Zapatero saúda "clara vitória" e promete governar com "mão dura e mão estendida"	clara vitória	2	adj n	Política e conflitos
ONU espera alcançar novo acordo climático vinculativo ainda este ano	climático vinculativo	0	adj n	Política e conflitos
Coreia do Sul afirma que Coreia do Norte lançou mísseis de curto alcance	curto alcance	0	adj n	Política e conflitos
Bloqueio da Wikimedia pela China entra na décima semana	décima semana	0	adj n	Política e conflitos
Timor Leste: décimo aniversário da independência	décimo aniversário	0	adj n	Política e conflitos
Número de mortos em duplo atentado na Síria chega a 27	duplo atentado	-3	adj n	Saúde
Cardeal brasileiro faz duras críticas a presidente Lula	duras críticas	-2	adj n	Política e conflitos
Senador Demóstenes faz duro discurso e cita Fernando Collor de Mello	duro discurso	-1	adj n	Política e conflitos
No 1º debate do segundo turno, Alckmin e Lula trocam duros ataques	duros ataques	-3	adj n	Política e conflitos
Fórum Econômico Mundial começa em Davos com foco na crise financeira	econômico mundial	0	adj n-adj	Economia e negócios
Fórum Econômico Mundial da América Latina discute crise financeira	econômico mundial	0	adj n-adj	Economia e negócios
Economista expulso do PT afirma que Lula sabia sobre corrupção	economista expulso	-1	adj n	Política e conflitos
Tarso considera "questões menores" acusação contra Dilma e eventual candidatura de Marina	eventual candidatura	0	adj n	Política e conflitos
Um em cada cinco paraguaios vive em extrema pobreza	extrema pobreza	-2	adj n	Política e conflitos
Merkel é reeleita formalmente chefe do governo alemão	formalmente chefe	0	adj n	Política e conflitos
Trabalhistas sofrem forte revés em eleições municipais no Reino Unido	forte revés	-2	adj n	Política e conflitos
Dia de combate ao tabagismo alerta sobre os riscos de ser fumante passivo	fumante passivo	0	adj n	Saúde
Ateliê português projeta futura capital da Guiné Equatorial	futura capital	0	adj n	Política e conflitos
Eleições definem o futuro governo de Israel	futuro governo	0	adj n	Política e conflitos
Morre grande descobridor de vacinas	grande descobridor	2	adj n	Saúde
Lula garante que Brasil terá grande desenvolvimento em 2006	grande desenvolvimento	2	adj n	Economia e negócios
Grande manifestação da oposição acontece na Venezuela	grande manifestação	-2	adj n	Política e conflitos
Maior banco dos Estados Unidos anuncia grande prejuízo	grande prejuízo	-2	adj n	Economia e negócios
Segunda edição do Festival Paulínia de Cinema tem grande repercussão e é elogiada por críticos	grande repercussão	0	adj n	Economia e negócios
Estados Unidos vão comprar US$ 250 bilhões em ações de grandes bancos norte-americanos	grandes bancos	0	adj n	Economia e negócios
Mantega anuncia liberação de R$ 15 bilhões para pequenas, médias e grandes empresas	grandes empresas	0	adj n	Economia e negócios
Companhias petroleiras obtêm grandes lucros	grandes lucros	2	adj n	Economia e negócios
49 pessoas morrem, 600 ficam feridos, dos quais 400 em estado grave, em grave acidente de trem em Buenos Aires, na Argentina	grave acidente	-3	adj n	Saúde
Asilo ao terrorista italiano gera grave crise diplomática entre Brasil e Itália	grave crise	-2	adj n	Política e conflitos
Polícia colombiana captura importante guerrilheira das FARC	importante guerrilheira	0	adj n	Política e conflitos
ONU diz que é impossível eleição justa no Zimbábue	impossível eleição	-1	adj n	Política e conflitos
Indústrias automotivas doam R$ 250 mil ao Fome Zero do Brasil	indústrias automotivas	0	adj n	Saúde
Presidente do Superior Tribunal de Justiça disse que o Brasil está a largos passos de um Estado nazista	largos passos	0	adj n	Política e conflitos
Vitória do partido de Putin nas eleições legislativas russas	legislativas russas	0	adj n	Política e conflitos
Itamaraty apela à Líbia para autorizar saída de estrangeiros e livre circulação	livre circulação	1	adj n	Política e conflitos
Acordo de livre comércio entre Brasil e México é tabu, diz Calderón	livre comércio	1	adj n	Economia e negócios
Acordo de livre comércio entre Mercosul e Israel entra em vigor amanhã	livre comércio	1	adj n	Política e conflitos
Paquistão e China assinam tratado de livre comércio	livre comércio	1	adj n	Política e conflitos
Senado norte-americano aprova tratado de livre comércio com o Peru	livre comércio	1	adj n	Economia e negócios
Previdência tem maior arrecadação desde 1995, mas fecha mês com déficit de R$ 2,73 bilhões	maior arrecadação	1	adj n	Saúde
Banco do Brasil volta a ser o maior banco da América Latina	maior banco	1	adj n	Economia e negócios
Irlanda vai nacionalizar o terceiro maior banco do país	maior banco	0	adj n	Economia e negócios
Israel lança contra Gaza o maior bombardeio desde janeiro de 2009	maior bombardeio	-2	adj n	Política e conflitos
Yahoo! vai demitir mil funcionários, o maior corte da sua história	maior corte	-1	adj n	Economia e negócios
Brasil ultrapassa Reino Unido e se torna a sexta maior economia do mundo	maior economia	1	adj n	Economia e negócios
Revisão do PIB chinês torna o país a terceira maior economia do mundo	maior economia	1	adj n	Economia e negócios
Petrobras se torna 3ª maior empresa das Américas em valor de mercado	maior empresa	1	adj n	Economia e negócios
Brasil é o 5ª maior mercado de computadores	maior mercado	1	adj n	Economia e negócios
Joint venture entre a Telefônica e a Portugal Telecom é a maior operadora de telefonia móvel do mercado brasileiro	maior operadora	1	adj n	Política e conflitos
China supera Estados Unidos e torna-se maior parceiro comercial do Brasil	maior parceiro	1	adj n	Economia e negócios
Maior parte de município maranhense está inundado	maior parte	0	adj n	Saúde
Mercedes Benz adquire maior parte da Brawn GP	maior parte	0	adj n	Economia e negócios
Brasil tem em dezembro de 2008, maior perda de empregos desde maio de 1999	maior perda	-2	adj n	Economia e negócios
Brasil ultrapassa a França e torna-se o sexto maior produtor de automóveis	maior produtor	1	adj n	Economia e negócios
PIB dos EUA tem maior queda desde 1946	maior queda	-2	adj n	Economia e negócios
Fogo atinge no maior shopping center do Bangladesh	maior shopping	0	adj n	Saúde
Gripe suína já matou 557 pessoas no Brasil, que detém a 7ª maior taxa de óbitos no mundo	maior taxa	0	adj n	Saúde
Dólar fecha em alta no Brasil e mantém-se no maior valor em nove anos	maior valor	1	adj n	Economia e negócios
Dólar passa de R$ 2,74 e atinge o maior valor em dez anos no Brasil	maior valor	1	adj n	Economia e negócios
Gasto de brasileiro no exterior atinge em junho maior valor desde o agravamento da crise	maior valor	1	adj n	Economia e negócios
Cariocas voltam a Copacabana para comemorar indicação para Olimpíadas de 2016; Nuzman diz que Escolha do Rio é a maior vitória política e esportiva do Brasil	maior vitória	2	adj n	Política e conflitos
Morre brasileiro reconhecido como um dos maiores cientistas do mundo em malária	maiores cientistas	1	adj n	Saúde
Comparecimento de eleitores na Guiné-Bissau é menor do que a primeira volta e dois maiores partidos se comprometem a aceitar resultados	maiores partidos	0	adj n	Política e conflitos
Lula critica "aves de mau agouro" e diz que "nenhum governo fez tanto pelos pobres"	mau agouro	-1	adj n	Política e conflitos
Médico legista do Caso Celso Daniel é encontrado morto em São Paulo	médico legista	0	adj n	Política e conflitos
Médicos cubanos voltam a trabalhar em Tocantins, no Brasil, depois de terem sido proibidos	médicos cubanos	0	adj n	Saúde
Médicos franceses descobrem homem sem cérebro	médicos franceses	0	adj n	Saúde
Brasil e Finlândia discutem biocombustíveis, meio ambiente e ciência e tecnologia	meio ambiente	0	adj n	Economia e negócios
Investimento público é melhor alternativa para o desenvolvimento da política fiscal, diz Coutinho	melhor alternativa	1	adj n	Economia e negócios
1,5 mil protestam em frente ao Congesso por melhores condições de trabalho	melhores condições	2	adj n	Política e conflitos
Dólar fecha em menor cotação desde 1999	menor cotação	-1	adj n	Economia e negócios
FMI prevê menor crescimento desde a II Guerra Mundial	menor crescimento	-1	adj n	Economia e negócios
Brasil fecha ano com a menor dívida desde 1998	menor dívida	2	adj n	Economia e negócios
Aécio Neves tem menor índice de rejeição	menor índice	0	adj n	Política e conflitos
Dólar chega a uma das menores cotações da década	menores cotações	-1	adj n	Economia e negócios
Liderança africana debate força militar conjunta	militar conjunta	0	adj n	Política e conflitos
Los Angeles Times acusa militares americanos de usar jornais iraquianos para propaganda	militares americanos	0	adj n	Política e conflitos
SBT terá nova afiliada no Mato Grosso	nova afiliada	0	adj n	Economia e negócios
Ebola: Brasil discute nova ajuda a países africanos	nova ajuda	2	adj n	Saúde
Hizbollah dispara mais de 100 foguetes contra Israel e usa uma nova arma	nova arma	-2	adj n	Política e conflitos
Chávez viaja para Cuba, onde será submetido a nova cirurgia	nova cirurgia	0	adj n	Política e conflitos
Bolívia começa hoje registro de eleitores para referendo que poderá aprovar nova Constituição	nova constituição	0	adj n	Política e conflitos
Iraque aprova nova Constituição	nova constituição	0	adj n	Política e conflitos
Morales comemora aprovação da nova Constituição	nova constituição	0	adj n	Política e conflitos
Morales convida prefeitos a negociar "autonomia real" e nova Constituição	nova constituição	0	adj n	Política e conflitos
Segundo Le Monde, pesquisas indicam vitória do SIM para nova constituição da Europa	nova constituição	0	adj n	Política e conflitos
Nova Corte de Justiça equatoriana toma posse	nova corte	0	adj n	Política e conflitos
Nova denúncia sobre Recursos Federais da Petrobras que não chegaram à Fundação José Sarney	nova denúncia	-1	adj n	Economia e negócios
Sarney rebate nova denúncia e compara Estadão a tablóides sensacionalistas ingleses	nova denúncia	-1	adj n	Economia e negócios
COP 17: 193 países para nova discussão sobre o clima	nova discussão	1	adj n	Política e conflitos
Anvisa aprova uso de nova droga para tratamento do câncer de fígado	nova droga	1	adj n	Saúde
Série de concertos tem nova edição em Paulínia	nova edição	0	adj n	Economia e negócios
Chávez diz que inicia-se nova fase de integração entre Venezuela e Guatemala	nova fase	0	adj n	Política e conflitos
Pacientes lotam pronto-socorro de hospital em Brasília com suspeita de nova gripe	nova gripe	-2	adj n	Saúde
Brasil: nova lei de estrangeiros	nova lei	0	adj n	Política e conflitos
Comissão do Senado brasileiro aprova relatório de Mercadante sobre nova Lei Nacional de Adoção	nova lei	0	adj n	Economia e negócios
Igreja da Bolívia critica nova lei do governo para a Educação	nova lei	0	adj n	Política e conflitos
Lula assina o reajuste de 10% do programa social do governo Bolsa Família e nova lei de adoção	nova lei	0	adj n	Política e conflitos
Portugal: partidos preparam nova Lei de Bases de Ambiente	nova lei	0	adj n	Política e conflitos
Há 15 anos começava a circular o real, nova moeda nacional de poder aquisitivo estável	nova moeda	0	adj n	Economia e negócios
45 pessoas morreram na nova onda de violência no Quênia	nova onda	0	adj n	Política e conflitos
Abril Vermelho:MST inicia nova onda de ocupações no Brasil	nova onda	0	adj n	Política e conflitos
Estados Unidos podem fazer nova proposta para reduzir subsídios na Rodada Doha	nova proposta	0	adj n	Economia e negócios
Conselho de Ética rejeita nova punição para Edmar Moreira	nova punição	-2	adj n	Política e conflitos
Costa Rica convoca nova reunião para tratar da crise política em Honduras	nova reunião	1	adj n	Política e conflitos
China e Tibete acertam a realização de nova rodada de diálogos	nova rodada	0	adj n	Política e conflitos
Governo dos Estados Unidos censura as revistas científicas por descobrimento de uma nova variedade da gripe	nova variedade	0	adj n	Saúde
Testemunha apresenta nova versão para assassinato de prefeito de Santo André (SP)	nova versão	0	adj n	Política e conflitos
Lula defenderá na reunião do G20 novas bases para regular atividade financeira	novas bases	0	adj n	Economia e negócios
Banco Central lança novas cédulas do real	novas cédulas	0	adj n	Economia e negócios
Já entraram em vigor novas classificações energéticas nos electrodomésticos	novas classificações	0	adj n	Política e conflitos
Jornais apresentam novas denúncias contra José Sarney	novas denúncias	-2	adj n	Política e conflitos
Senadores reagem a três novas denúncias contra Sarney	novas denúncias	-2	adj n	Economia e negócios
Brasileiros que vivem em Honduras defendem novas eleições para pôr fim à crise política	novas eleições	0	adj n	Política e conflitos
China e CPLP procuram novas formas de comércio em Moçambique	novas formas	0	adj n	Economia e negócios
Cidades de São Paulo confirmam novas mortes	novas mortes	-3	adj n	Saúde
Novas mudanças de canais de TVs no Mato Grosso	novas mudanças	0	adj n	Economia e negócios
Com novas regras, planos de saúde não precisam pagar cesarianas agendadas	novas regras	0	adj n	Saúde
Mercosul repudia novas regras imigratórias da União Européia	novas regras	0	adj n	Política e conflitos
Novas regras para planos de saúde começam a valer nesta segunda-feira	novas regras	0	adj n	Economia e negócios
Novas regras para telefonia celular no Brasil	novas regras	0	adj n	Economia e negócios
Roberto Jefferson faz novas revelações sobre corrupção no Brasil	novas revelações	0	adj n	Política e conflitos
Conselho de Segurança da ONU aprova por unanimidade novas sanções ao Irã	novas sanções	-2	adj n	Política e conflitos
Depois de pouso na Nicarágua, Zelaya promete novas tentativas de voltar a Honduras	novas tentativas	0	adj n	Política e conflitos
Brasil e México fecham novo acordo automotivo	novo acordo	2	adj n	Economia e negócios
Câmara dos deputados brasileira aprova novo acordo tarifário para Itaipu	novo acordo	2	adj n	Economia e negócios
ONU espera alcançar novo acordo climático vinculativo ainda este ano	novo acordo	2	adj n	Política e conflitos
Presidentes do Brasil e Paraguai assinam novo acordo da Usina Hidrelétrica de Itaipu	novo acordo	2	adj n	Economia e negócios
Tentativa de novo acordo na Rodada Doha fracassa	novo acordo	2	adj n	Economia e negócios
Novo aeroporto de Lisboa tem luz verde do estudo ambiental	novo aeroporto	1	adj n	Política e conflitos
Suicidas causam novo atentado terrorista em Bali	novo atentado	-2	adj n	Política e conflitos
FARC fazem novo bloqueio e disparam contra ambulância	novo bloqueio	-1	adj n	Política e conflitos
Petrobras anuncia novo campo de petróleo leve e gás na Bacia de Santos	novo campo	0	adj n	Economia e negócios
Novo centro de parto normal será erguido pela Fiocruz, no Rio	novo centro	0	adj n	Saúde
Obama defende novo começo com muçulmanos no Cairo	novo começo	1	adj n	Política e conflitos
Novo Concurso de Recenseadores do IBGE	novo concurso	0	adj n	Economia e negócios
Novo Congresso assume nos EUA e oposição domina Câmara, dificultando atuação de Obama	novo congresso	0	adj n	Política e conflitos
Doleiro preso envolve Ministro da Justiça do Brasil e deve prestar novo depoimento	novo depoimento	0	adj n	Política e conflitos
França enfrenta novo dia de protestos contra reforma na Previdência	novo dia	0	adj n	Economia e negócios
Governo lança novo edital do Mais Médicos	novo edital	0	adj n	Saúde
Ministério da Saúde anuncia novo edital de residências em medicina de família	novo edital	0	adj n	Saúde
Venezuela deve anunciar novo embaixador na Colômbia nos próximo dias	novo embaixador	0	adj n	Política e conflitos
Novo escândalo: Integrantes do PT envolvidos em compra de dossiê contra adversários	novo escândalo	-2	adj n	Política e conflitos
Suplente de senador defende a criação de novo estado brasileiro	novo estado	0	adj n	Política e conflitos
Analistas dizem que novo governo de Moçambique tem que diminuir desigualdades	novo governo	0	adj n	Economia e negócios
Benjamin Netanyahu é chamado por Shimon Peres para formar novo governo	novo governo	0	adj n	Política e conflitos
Guerrilha islâmica promete que vai lutar contra o novo governo da Somália	novo governo	0	adj n	Política e conflitos
Lula diz que Brasil não aceita novo governo em Honduras	novo governo	0	adj n	Política e conflitos
Manmohan Singh presta juramento para novo governo na Índia	novo governo	0	adj n	Política e conflitos
Novo governo de Honduras acusa Nicarágua de mobilizar tropas nas fronteiras	novo governo	0	adj n	Política e conflitos
Novo governo de Honduras tem 72 horas para devolver poder a Zelaya, diz OEA	novo governo	0	adj n	Política e conflitos
Novo governo mauritano após o golpe de Estado	novo governo	0	adj n	Política e conflitos
Partidos belgas chegam a acordo para formar novo governo	novo governo	0	adj n	Política e conflitos
Toma posse novo governo na Grécia; futuro do país sob governo da Esquerda Radical SYRIZA provoca especulações no mundo	novo governo	0	adj n	Economia e negócios
Tzipi Livni pede prazo para formar novo governo em Israel	novo governo	0	adj n	Política e conflitos
Venezuela é o mais novo integrante do Mercosul	novo integrante	0	adj n	Economia e negócios
Pesquisadores da Fiocruz estudam novo larvicida contra mosquito da dengue	novo larvicida	0	adj n	Saúde
Presidente da Indonésia inicia um novo mandato	novo mandato	0	adj n	Política e conflitos
Anvisa aprova registro de novo medicamento para tuberculose	novo medicamento	1	adj n	Saúde
Irã testa novo míssil	novo míssil	-1	adj n	Política e conflitos
Irã testa novo míssil de longo alcance	novo míssil	-1	adj n	Política e conflitos
Novo Parlamento de Cabo Verde será eleito em 6 de fevereiro	novo parlamento	0	adj n	Política e conflitos
Taro Aso é escolhido como novo premiê do Japão	novo premiê	0	adj n	Política e conflitos
Eleições na Itália escolhem novo premiêr	novo premiêr	0	adj n	Política e conflitos
Eduardo Rodríguez Veltzé é o novo Presidente da Bolívia	novo presidente	0	adj n	Política e conflitos
Egito elege novo presidente	novo presidente	0	adj n	Política e conflitos
Ex-ditador de Cuba muda de opinião e ataca o novo presidente dos Estados Unidos	novo presidente	0	adj n	Política e conflitos
Garibaldi Alves é o novo presidente do Senado Brasileiro	novo presidente	0	adj n	Política e conflitos
José Alencar nomeia servidor como novo presidente da Embrapa	novo presidente	0	adj n	Economia e negócios
Luis Alberto Moreno da Colômbia é o novo Presidente do BID	novo presidente	0	adj n	Economia e negócios
Novo presidente da Ucrãnia vai manter governo	novo presidente	0	adj n	Política e conflitos
Novo presidente pede para hondurenhos não se preocuparem com ameaças	novo presidente	0	adj n	Política e conflitos
Os guineeses vão eleger um novo presidente	novo presidente	0	adj n	Política e conflitos
Paraguai elege novo presidente em duas semanas	novo presidente	0	adj n	Política e conflitos
Presidente da Venezuela muda de opinião e ataca o novo presidente dos Estados Unidos	novo presidente	0	adj n	Política e conflitos
Sarney é o novo presidente do Senado	novo presidente	0	adj n	Política e conflitos
Sergio Mattarella é eleito novo Presidente da Itália	novo presidente	0	adj n	Economia e negócios
Tarso Genro é o novo presidente do Partido dos Trabalhadores	novo presidente	0	adj n	Política e conflitos
França tem novo Primeiro-Ministro	novo primeiro-ministro	0	adj n	Política e conflitos
Netanyahu é confirmado pelo Knesset como novo primeiro-ministro de Israel	novo primeiro-ministro	0	adj n	Política e conflitos
Parlamento paquistanês elege candidato do PPP como novo primeiro-ministro	novo primeiro-ministro	0	adj n	Política e conflitos
Prodi, líder da centro-esquerda italiano, é apontado como novo primeiro-ministro da Itália	novo primeiro-ministro	0	adj n	Política e conflitos
Yoshihiko Noda é o novo primeiro-ministro do Japão	novo primeiro-ministro	0	adj n	Política e conflitos
Lula dá posse ao novo Procurador-Geral da República e critica "show de pirotecnia" e pede mais cautela em investigações	novo procurador-geral	0	adj n	Política e conflitos
Bovespa fecha em novo recorde e Dólar acumula queda de quase 3% na semana.	novo recorde	2	adj n	Economia e negócios
Preço do Petróleo bate novo recorde	novo recorde	2	adj n	Economia e negócios
Novo regulamento de transporte em Moçambique	novo regulamento	0	adj n	Economia e negócios
Holanda tem novo rei, o primeiro homem em 123 anos	novo rei	1	adj n	Política e conflitos
Novo relatório da Associação Justiça, Paz e Democracia sobre a corrupção em Angola	novo relatório	0	adj n	Economia e negócios
Programa das Nações Unidas apresenta novo relatório sobre aids no mundo	novo relatório	0	adj n	Saúde
Valoração do novo Relógio de Ponto Eletrônico no Brasil	novo relógio	0	adj n	Economia e negócios
Novo salário mínimo brasileiro passará a valer a partir de sábado	novo salário	1	adj n	Economia e negócios
José Miguel Insulza é o novo secretário da OEA	novo secretário	0	adj n	Política e conflitos
Novo shopping de luxo é inaugurado em São Paulo	novo shopping	1	adj n	Economia e negócios
Novo super-micróbio surge no Reino Unido	novo super-micróbio	0	adj n	Saúde
Coreia do Norte realiza novo teste nuclear	novo teste	0	adj n	Política e conflitos
Novo valor do Bolsa Família começa a ser pago em setembro	novo valor	0	adj n	Economia e negócios
Empossado novo vice-presidente do Equador	novo vice-presidente	0	adj n	Política e conflitos
Ministra Dilma Rousseff se apresenta em novo visual	novo visual	0	adj n-adj	Política e conflitos
Al-Qaeda planeja novos ataques aos EUA	novos ataques	-2	adj n	Política e conflitos
Israel lança novos ataques aéreos contra Faixa de Gaza	novos ataques	-2	adj n	Política e conflitos
Novos atentados na Argélia mata 11 e fere 31 pessoas	novos atentados	-2	adj n	Política e conflitos
Brasil confirma 14 novos casos de gripe A (H1N1)	novos casos	0	adj n	Saúde
Brasil registra dois novos casos de gripe suína	novos casos	0	adj n	Saúde
Brasil tem 17 novos casos de gripe suína	novos casos	0	adj n	Saúde
Brasil tem três novos casos de gripe suína	novos casos	0	adj n	Saúde
Cinco novos casos da Gripe H1N1 elevam para 107 em Portugal	novos casos	0	adj n	Saúde
Gripe suína tem 2.449 novos casos no mundo	novos casos	0	adj n	Saúde
Gripe suína tem redução de novos casos	novos casos	0	adj n	Saúde
Mais 23 novos casos da gripe A (H1N1) em Portugal, chegando a 295 no total desde maio	novos casos	0	adj n	Saúde
Ministério da Saúde confirma novos casos da Gripe A suína (H1N1) em Portugal e cidadãos portugueses no navio Ocean Dream nas Caraíbas	novos casos	0	adj n	Saúde
Mundo registra mais de 11 mil novos casos de gripe suína, diz OMS	novos casos	0	adj n	Saúde
Novos casos da Gripe A em SP e RS	novos casos	0	adj n	Saúde
Novos casos de febre aftosa são descobertos no Brasil	novos casos	0	adj n	Economia e negócios
Novos confrontos na Capital da Somália	novos confrontos	-2	adj n	Política e conflitos
Praça Tahrir, no Cairo, tem novos confrontos	novos confrontos	-2	adj n	Política e conflitos
Novos dados sobre exploração de madeira na Amazônia devem sair em agosto	novos dados	0	adj n	Economia e negócios
9.388 mil novos empregos federais	novos empregos	2	adj n	Política e conflitos
Mantega acredita que país poderá ter até 700 mil novos empregos no fim do ano	novos empregos	2	adj n	Economia e negócios
Quase 30 pessoas morrem durante novos enfrentamentos na Síria	novos enfrentamentos	-2	adj n	Saúde
Câmara aprova plebiscito sobre emancipação de novos estados no Pará	novos estados	0	adj n	Política e conflitos
Criação de novos estados repercute pelo país	novos estados	0	adj n	Política e conflitos
ACNUR afirma que novos grupos ilegais estão a se formar ao sul da Colômbia	novos grupos	0	adj n	Política e conflitos
Cobertura básica dos planos de saúde terá novos itens obrigatórios	novos itens	0	adj n	Economia e negócios
STJ define nomeação de dois novos ministros	novos ministros	0	adj n	Política e conflitos
Técnicos buscam novos pontos de vazamento de óleo no fundo do mar na área do Campo de Frade	novos pontos	0	adj n	Economia e negócios
Eleitores de seis municípios escolheram novos prefeitos neste domingo	novos prefeitos	0	adj n	Política e conflitos
Quatro países latino-americanos vão eleger novos presidentes em 2011	novos presidentes	0	adj n	Política e conflitos
Manifestação pede liberação de novos remédios contra hepatite C	novos remédios	1	adj n	Saúde
Grupo de milícias são os novos responsáveis pelo crime em favelas no Rio	novos responsáveis	0	adj n-adj	Política e conflitos
Alemães protestam contra plano nuclear alemão	nuclear alemão	0	adj n	Política e conflitos
ONU define comissão que vai investigar ofensiva israelense na Faixa de Gaza	ofensiva israelense	-1	adj n	Política e conflitos
Emprego na indústria tem a oitava queda consecutiva em maio	oitava queda	-1	adj n	Economia e negócios
Uribe adverte paramilitares presos	paramilitares presos	-1	adj n	Política e conflitos
Copa, Olimpíadas e pré-sal podem gerar bons lucros para pequenas empresas, diz Sebrae	pequenas empresas	0	adj n	Política e conflitos
Ministro admite "pequenas falhas" na lista de fazendas liberadas para exportar carne	pequenas falhas	-1	adj n	Economia e negócios
Brincadeira telefônica causa pequeno incidente diplomático entre Espanha e Bolívia	pequeno incidente	-1	adj n	Política e conflitos
Ministério das Cidades libera R$ 1 bilhão para moradias populares em pequenos municípios	pequenos municípios	0	adj n	Economia e negócios
Silva Pereira defende que é a pior altura para «entregar PR à direita»	pior altura	-2	adj n	Política e conflitos
PIB dos EUA tem seu pior desempenho em mais de 25 anos	pior desempenho	-2	adj n	Economia e negócios
Piora estado de saúde do ex-Primeiro-Ministro de Israel Ariel Sharon	piora estado	-2	adj n	Política e conflitos
Lei da Ficha Limpa está em pleno vigor, diz Lewandowski	pleno vigor	2	adj n	Política e conflitos
Banqueiro Daniel Dantas nega ser autor de suposto dossiê contra políticos brasileiros	políticos brasileiros	0	adj n	Política e conflitos
Grupo de dissidentes políticos cubanos deixa o país para viver na Espanha	políticos cubanos	0	adj n	Política e conflitos
ONU pede investigação sobre possíveis crimes de guerra em Gaza	possíveis crimes	-1	adj n	Política e conflitos
CGU vai investigar possíveis irregularidades em projeto da Fundação José Sarney	possíveis irregularidades	-1	adj n	Política e conflitos
ONU vai investigar possíveis violações de direitos humanos de Israel em Gaza	possíveis violações	-1	adj n	Política e conflitos
José Sócrates descarta uma possível aliança com PSD	possível aliança	1	adj n	Política e conflitos
Equipe econômica não está preocupada com possível aumento da taxa de juros pelo Banco Central	possível aumento	0	adj n	Economia e negócios
Uribe critica possível encontro entre Chávez e chefão das FARC	possível encontro	0	adj n	Política e conflitos
Opportunity reclama de possível indiciamento de Dantas por relatora da CPI dos Grampos	possível indiciamento	0	adj n	Política e conflitos
Colômbia sugere ao Brasil investigar possível ligação de ex-padre com as Farc	possível ligação	0	adj n	Política e conflitos
Comandantes militares evitam polemizar sobre possível revisão da Lei da Anistia	possível revisão	0	adj n	Política e conflitos
IPCC estuda possível revisão da previsão do derretimento dos Himalaias	possível revisão	0	adj n	Política e conflitos
Cabo Verde: Lava atinge primeira aldeia na Ilha do Fogo	primeira aldeia	0	adj n	Saúde
Conselho Curador da EBC aprova data da primeira audiência pública sobre TV Brasil	primeira audiência	0	adj n	Política e conflitos
